university_name,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008
University of Houston-Clear Lake,"1,779","1,578","1,535","1,716","1,542","1,769","1,746","1,279","1,244","1,023"
Universidad del Turabo,"1,777","2,518","2,473","2,694","6,916","6,953","7,098","6,620",423,532
Occidental College,"1,764","2,008","1,544","2,177","1,634","1,592","1,809","2,289","2,625","2,110"
Maine Maritime Academy,"1,763","1,902","1,483","1,065",477,358,341,0,0,0
State University of New York College at Geneseo,"1,758","1,750","1,314","1,084","1,201","2,132","2,677","1,373","2,293","2,394"
Davidson College,"1,736","1,521","2,377","1,804","2,337","1,400","1,977","1,493","2,018","1,342"
Hofstra University,"1,702","2,440","2,585","3,102","2,394","3,237","2,472","2,552","3,888","3,065"
Mercyhurst College,"1,702","1,647","1,987","1,914","1,414","1,539","1,206","2,040","1,975","1,840"
"Fuller Theological Seminary, Pasadena","1,689","1,634","2,998","3,106","2,329","2,118",842,384,598,442
Benedict College,"1,676","1,653","1,373","2,479","2,664","2,754","3,009","1,533","1,337","1,549"
State University of New York College at Oswego,"1,658","1,662",820,861,725,"1,266",977,783,"1,020","1,026"
"Pennsylvania State University, The, Harrisburg","1,654","2,558","3,379","2,557","2,230","2,903","3,460","2,734",0,0
Northern Kentucky University,"1,649","1,846","2,026","2,052","1,810","2,201","2,397","2,316","1,878","1,791"
"College of Wooster, The","1,644","1,169","1,245","1,321","1,315",966,"1,225",988,938,707
University of Wisconsin-Eau Claire,"1,641","1,238","2,051",915,"1,235","1,362","1,406","1,950","1,705","1,167"
Seattle University,"1,623","2,050","2,847","2,692","3,958",642,"1,274","1,337","1,400","1,935"
Heidelberg University,"1,621","1,286","1,109","1,539","1,129","1,223","1,219",0,0,0
University of Alaska Southeast,"1,621","1,808","1,588","1,512","1,559","1,382","1,274","1,759","1,861","2,444"
Northwest Indian College,"1,614",653,"1,631","2,609","3,247","2,847","2,744","2,426","2,538",0
"California State University, Chico","1,600","2,363","1,837","2,384","2,868","2,492","2,684","2,881","1,931","1,384"
Vassar College,"1,600","1,495","2,854","1,220","1,694","1,258","1,838","1,280","1,160","1,126"
Winston-Salem State University,"1,575","1,356","1,346",510,841,"1,977","1,179",0,0,417
Salus University,"1,566","1,641","1,257","1,190","1,368","1,337","1,493","1,359","1,380","1,851"
Rider University,"1,565","1,617","1,726","1,793","1,648","1,890","1,672","1,671","1,550","1,410"
Franklin W. Olin College of Engineering,"1,553","1,762","2,136","1,561","1,157","1,777","1,016",0,0,0
Canisius College,"1,546","1,219",972,591,353,273,205,221,186,189
St. Olaf College,"1,539","1,605","1,346","1,353","1,242","1,518","1,130","1,574","1,067","1,321"
University of Wisconsin-Oshkosh,"1,538","1,470","1,703","1,935","2,167","2,331","2,384","1,556","1,373","1,724"
Whittier College,"1,516",0,0,493,270,0,0,0,0,0
Marshall B. Ketchum University,"1,512","1,491","1,468","1,030",0,0,789,0,0,0
University of Wisconsin-Green Bay,"1,510","1,599","1,320","1,299","1,279","1,259","1,239","1,219","1,047","1,111"
Emerson College,"1,488","1,114","1,291",0,0,0,0,0,0,0
Salish Kootenai College,"1,481","1,142","1,186","1,399","1,612","1,415","1,153",880,626,446
Western Carolina University,"1,474","1,305","1,145","1,048","1,028","1,811","1,451","2,376","3,094","3,996"
McNeese State University,"1,467","1,265","1,672","1,691","1,426","1,330","1,561","1,077","1,215","1,158"
"University of Michigan, Flint","1,466","1,033",949,794,711,882,767,693,0,0
Palo Alto University,"1,459",849,670,735,876,496,573,0,0,0
Calvin College,"1,456","1,809","2,430","3,051","3,466","3,252","3,113","5,010","4,160","4,267"
Siena College,"1,425","1,721","1,623","1,945","1,995","1,662","1,714","1,061","1,140",589
Suffolk University,"1,421","1,375","1,305","1,534","1,551","1,303","1,624",0,0,0
Des Moines University,"1,416","1,401","1,018",929,"1,311",890,924,855,867,"1,002"
Reed College,"1,415","3,213","3,050","3,124","2,395","1,837","1,839","1,904","1,096","1,291"
Saint Michael's College,"1,415","1,624","1,532","1,541","1,620","1,106",734,644,673,0
Savannah State University,"1,407","2,267","1,801","2,210","2,613","1,996","2,700","1,874","1,651","1,902"
Saginaw Valley State University,"1,406","1,190","1,220","1,085",939,"1,094","1,249",873,823,623
Northeastern Illinois University,"1,403","1,231",564,703,"1,096",672,533,711,"4,607","6,006"
Albany State University,"1,393","1,496","1,356","1,549","1,658","2,225","1,416",740,"1,206","2,441"
University of Puerto Rico at Humacao,"1,375",858,784,"1,145","1,455","1,949","1,976","1,971","1,967","2,135"
Northwestern State University of Louisiana,"1,373","1,628","1,426",792,"1,022","1,102","1,189","1,464","1,390","1,547"
"California State University, Stanislaus","1,365","1,248","1,080","1,136","1,342","1,881","1,487",0,0,0
Claflin University,"1,360","1,772","1,255","1,818","2,661","5,255","5,439","3,252","3,328","1,592"
Universidad del Este,"1,359","1,207","1,174","1,374","1,558","1,480","1,358","1,372",709,416
Tarleton University System Center-Central Texas,"1,348",375,0,0,0,0,0,0,0,0
Elizabeth City State University,"1,340","1,889","2,277","2,988","4,515","4,455","10,455","5,576","3,421","2,982"
Northern Michigan University,"1,339","1,118","1,177",952,827,779,841,910,871,984
Gettysburg College,"1,318","1,080",843,838,707,855,669,814,675,595
University of Mary Washington,"1,308",835,690,"1,072",997,907,"1,374",0,0,0
Indiana University of Pennsylvania,"1,307","1,241","1,245",938,"1,280","1,809","1,736","1,376","1,726","1,306"
State University of New York College at Brockport,"1,289","1,335","1,367","1,192","1,321","1,487","1,248",831,651,706
Indiana State University,"1,284","1,763","1,541","1,436","1,238","1,857","1,980","1,541","1,513","1,898"
"Wheaton College, Wheaton","1,270","1,259",783,"1,302","1,408",844,"1,187",0,0,0
"Saint John's University, Collegeville","1,267","1,459","1,372","1,623","1,444","1,098",891,640,616,"1,057"
Christopher Newport University,"1,264","1,172","1,208","1,508","1,187","1,327","1,669","1,110","1,045",845
Alaska Pacific University,"1,248","1,358","1,246","1,045",822,456,518,434,414,309
Eastern Kentucky University,"1,248","1,486","1,681","2,221","2,845","3,404","3,782","3,531","2,324","5,370"
Allegheny College,"1,243","1,014","1,166",784,985,692,707,505,633,759
"University of St. Thomas (MN), Saint Paul","1,241","1,266","1,134",916,"1,424","1,030","1,316","1,330","1,100","1,207"
Stockton University,"1,237",807,"1,452","1,374","1,699",927,"1,455",0,0,0
Eastern Connecticut State University,"1,228","1,209","1,149","1,459",0,0,216,0,0,0
Drake University,"1,215","1,558","1,108",852,918,"1,248",966,"1,033","1,021","1,652"
"Augustana College, Sioux Falls","1,212","1,126",782,"1,106","1,045","1,160","1,578",912,811,843
"Union College, Schenectady","1,189","2,150","1,560","1,924","2,402","1,516","1,615","1,984","1,865","2,557"
"University of Texas at Permian Basin, The","1,152","1,561","1,725","1,532","1,146","1,707","1,232","1,417","1,442","3,043"
Doane College,"1,142",765,474,"1,033","1,468",678,"1,022",0,0,0
Augsburg College,"1,141","1,189","1,193","1,236",915,"1,144","1,179",0,0,792
Plymouth State University,"1,131","1,340","2,318","2,786","2,872","2,913","3,729","1,752","1,173","1,507"
College of Saint Benedict,"1,122","1,305","1,179","1,451","1,347","1,107",867,0,0,0
"City University of New York, System Office","1,114","1,655","1,782","1,088","1,210","1,817",0,0,0,0
University of Puerto Rico at Cayey,"1,109","1,415","1,521","1,795","1,726","1,916","1,474",927,"1,735","1,224"
"University of Houston, system administration","1,099","1,070","1,027","1,088",940,0,0,0,0,0
"California State University, Channel Islands","1,096","1,383","1,949","3,862","1,236","1,465",524,0,0,0
"New England College of Optometry, The","1,092",980,"1,077","1,234","2,172","2,237","1,751","1,457","1,596","1,604"
Rhode Island School of Design,"1,086","1,071","1,013","1,064",576,970,551,0,0,0
"College of New Jersey, The","1,078","1,306",830,861,962,523,486,850,"1,785",786
Albion College,"1,074","1,043",743,789,990,852,799,0,0,0
University of Wisconsin-River Falls,"1,072","1,104",991,881,771,661,551,441,496,345
University of Wisconsin-Platteville,"1,068","1,034",970,"1,000",0,698,715,681,685,511
Lake Superior State University,"1,067","1,039","1,170","1,194",826,791,752,0,0,0
Kenyon College,"1,057",783,795,776,843,757,433,428,338,558
Merrimack College,"1,055",0,0,0,0,0,0,0,0,0
"Indiana University, South Bend","1,039","1,474","1,619","1,565","1,410","1,219","1,099","1,070",0,0
Quinnipiac University,"1,036","1,022",967,"1,002","1,022","1,000",0,0,0,0
Biola University,"1,034","1,000",0,0,0,0,0,0,0,0
New Mexico Highlands University,"1,023","1,111","1,037",979,"1,209","1,566","1,498","1,529","4,696","3,945"
"University of California, Cooperative Extension","1,019",780,272,375,327,195,178,0,0,0
Hult International Business School,"1,014","1,000",0,0,0,0,0,0,0,0
Providence College,"1,014","1,196","1,329","1,087",983,"1,003",758,917,852,797
"City University of New York, New York City College of Technology","1,009",742,703,549,732,426,343,231,208,458
State University of New York College at Plattsburgh,"1,003","1,020","1,135","1,008","1,502",913,"1,098","1,664","1,470",495
New College of Florida,998,"1,103",924,897,"1,294",945,"1,046",660,0,0
Seattle Pacific University,996,"1,016","1,101","1,125","1,490","1,481","1,633",684,949,0
Central Connecticut State University,995,"1,322","1,259","1,185","1,574","1,506","1,451",776,305,479
Ursinus College,982,737,584,493,523,471,594,540,565,796
Oakwood University,979,966,"1,065",965,"1,058",724,0,0,493,"3,203"
American Samoa Community College,975,793,"1,337","1,479",0,0,0,0,0,0
"University of Minnesota, Morris",974,"1,029","1,223","1,338","1,534","1,213",899,672,0,0
Susquehanna University,971,753,716,674,290,225,613,0,0,0
Andrews University,966,943,872,753,894,940,854,"1,195",855,"1,283"
Hobart and William Smith Colleges,952,"1,000",946,"1,221","2,238","1,516","1,566","1,434","1,593","1,475"
University of Portland,934,701,677,612,684,755,"1,257","1,205","1,507","1,307"
National College of Natural Medicine,921,"1,046",715,491,328,291,791,0,0,0
Fort Lewis College,916,657,483,603,625,591,606,392,273,258
Dominican University of California,914,708,649,654,703,567,948,0,0,0
Fort Hays State University,913,657,681,775,450,578,0,0,0,0
Keene State College,908,"1,193",966,"2,601","2,387","2,338","2,290",0,0,0
Weber State University,907,796,550,641,996,990,"1,314",983,777,0
University of Puget Sound,902,"1,072",725,596,547,632,530,461,325,434
Eastern Illinois University,901,"1,056",946,974,808,"1,039",716,751,"9,405","8,816"
Monmouth University,899,900,"1,220",865,"1,043",904,"1,956","2,195","1,576","1,545"
La Salle University,898,989,"1,079","1,039","1,139","1,156","1,460","1,298","2,851","3,824"
Manhattan College,897,866,732,373,716,568,638,498,361,378
Kansas City University of Medicine and Biosciences,896,454,"1,500",396,0,0,239,685,992,"1,428"
Ithaca College,887,711,972,"1,248","1,245","1,132","1,025","1,077","1,120","1,504"
Norwich University,878,"1,249","1,985","1,857","1,825","1,498","1,583",0,0,0
Midwestern State University,874,822,569,194,285,0,0,348,183,0
"Pennsylvania State University, The, Altoona",870,761,797,860,886,890,773,671,0,0
Dickinson College,869,"1,332","1,492","1,612","1,570","2,167","2,050","2,109","2,364","2,204"
Nicholls State University,866,665,"1,591","1,802","1,706","2,794","3,321","2,590","1,864","1,172"
Rose-Hulman Institute of Technology,862,596,480,488,642,"1,081","1,268","1,482","3,405","3,824"
"City University of New York, York College",850,728,716,"1,110",999,"1,544","2,180",0,0,"2,302"
Liberty University,850,304,0,0,0,0,0,0,0,0
Citadel Military College of South Carolina,848,535,383,347,276,427,415,0,0,0
California Lutheran University,846,764,241,156,531,273,741,0,0,0
Millsaps College,839,823,655,754,428,323,400,722,655,612
Luther College,838,751,582,499,268,464,425,342,338,447
Pitzer College,837,525,282,384,388,372,268,347,252,223
University of Wisconsin-Stout,821,516,614,807,776,560,474,388,418,476
Whitman College,818,546,653,575,627,849,"1,142","1,415",494,"1,170"
Eckerd College,809,753,415,485,365,404,357,327,541,547
Angelo State University,807,"1,057",968,955,"1,108",954,"1,201","1,088","1,223",906
Mississippi Valley State University,806,642,539,642,616,765,830,"1,029","1,063",951
LeTourneau University,805,939,861,755,532,712,796,773,491,449
State University of New York College at Old Westbury,801,776,728,0,0,"1,237","1,267","1,206","1,108","1,768"
Bloomsburg University of Pennsylvania,797,701,809,693,632,"1,151",419,0,0,0
Whitworth University,792,523,513,195,0,0,0,0,0,0
Loyola University Maryland,784,382,449,534,697,644,787,648,520,"1,122"
A. T. Still University,782,"2,873","4,571","5,892","4,569","3,247","1,925","1,253",623,"1,179"
University of Wisconsin-Whitewater,782,698,614,921,829,863,791,718,753,654
Southern Oregon University,776,568,816,893,"1,134","1,070","1,330",826,584,906
Sonoma State University,765,693,"1,163","1,714","1,938","1,239",825,858,587,652
Stonehill College,755,859,581,591,0,0,0,0,0,0
University of Puerto Rico at Ponce,744,629,610,627,462,639,160,0,0,0
University of Maine at Machias,737,0,0,388,383,457,0,0,0,0
Keiser U.,729,0,0,0,0,0,0,0,0,0
Ferris State University,728,607,458,711,640,461,0,0,0,0
Shippensburg University of Pennsylvania,727,557,264,355,231,548,"1,049",0,0,0
University of Bridgeport,726,"1,094",942,443,0,0,284,0,0,0
Muhlenberg College,721,532,489,374,267,453,661,488,550,512
Massachusetts College of Pharmacy and Health Sciences,720,"1,073",561,378,0,0,0,232,337,538
"Pennsylvania State University, The, Beaver",718,326,407,878,508,758,875,848,0,0
Sewanee: The University of the South,714,701,"1,115","1,218","1,269",927,"1,017",0,0,0
"Louisiana State University, Shreveport",705,955,704,966,937,"1,168","1,816","1,359",870,870
Northwest Nazarene University,696,861,858,866,502,421,481,0,0,0
International Technological University,695,696,584,585,738,0,0,0,0,0
Marist College,692,473,448,"3,349",519,877,306,671,"1,185","1,146"
"St. Mary's University, San Antonio",692,794,714,681,784,746,564,495,319,785
Touro College,679,561,624,734,616,889,"1,247",0,0,0
College of the Holy Cross,673,643,512,467,535,767,957,"1,275","1,513",988
Millersville University of Pennsylvania,673,678,706,626,462,713,665,523,552,0
Kalamazoo College,671,619,597,558,507,889,492,755,476,327
St. Mary's College of Maryland,662,638,475,649,476,247,427,342,338,275
Regis University,661,778,590,624,435,"1,643","1,245","1,241",0,0
Oglala Lakota College,659,659,647,476,510,374,296,0,0,204
Southern Utah University,657,376,0,0,0,0,241,0,0,0
Governors State University,655,0,0,0,360,928,"1,099","1,220","1,402","1,373"
Radford University,653,685,490,317,685,674,784,680,521,362
St. Bonaventure University,651,731,"1,149",702,720,986,"1,936","1,727","1,501",0
Jacksonville University,649,0,0,0,280,274,276,335,393,396
United States Coast Guard Academy,644,568,660,269,329,398,490,680,497,803
Fairleigh Dickinson University,643,502,312,0,0,0,0,254,233,215
Dordt College,641,0,0,0,0,0,0,0,0,0
Gustavus Adolphus College,641,585,601,552,463,368,330,310,214,201
Lake Erie College of Osteopathic Medicine,639,248,265,225,362,374,0,0,0,0
St. Lawrence University,639,277,200,246,156,152,0,0,0,0
Abilene Christian University,634,507,671,499,605,651,487,662,417,337
Gonzaga University,618,959,"1,145","1,107","1,212","1,765","1,819","1,249",705,844
"University of Minnesota, Rochester",617,724,663,619,546,641,591,248,0,0
Indiana Wesleyan University,615,231,280,285,157,326,282,0,0,0
Polytechnic University of Puerto Rico,611,591,406,297,481,439,360,0,0,241
State University of New York College at Cortland,611,868,731,756,819,"1,133",968,527,342,355
Western New England College,610,"1,291","1,348",593,426,483,"1,111",0,0,0
St. Catherine University,605,647,514,401,302,512,484,0,0,0
"Minnesota State University, Moorhead",604,439,481,486,580,984,982,0,0,0
Southeast Missouri State University,604,367,392,239,0,0,187,0,0,0
Earlham College,603,554,"1,353",758,660,485,468,0,0,0
Wilkes University,598,248,310,202,369,789,563,420,202,254
"University of West Alabama, The",596,257,294,0,0,0,0,0,0,0
Northwest Missouri State University,586,250,234,0,0,202,209,0,0,0
Hampshire College,585,404,539,514,407,507,"1,530",569,994,"1,015"
State University of New York at New Paltz,578,400,399,366,376,287,180,251,209,193
"University of Pittsburgh, Bradford",577,460,705,744,584,742,239,0,0,0
"Montana State University, Billings",573,460,573,538,476,439,656,598,695,"1,402"
San Juan Bautista School of Medicine,570,866,0,0,0,0,0,0,0,0
Arcadia University,566,732,640,469,588,956,"1,888","1,649","1,849","2,426"
University of Western States,564,644,"1,077","1,383","1,238","1,129",858,996,810,907
Bentley University,562,544,0,0,0,0,0,0,0,0
Kean University,558,908,"1,064","1,105",761,"2,029","1,497",0,0,0
"University of South Carolina, Beaufort",555,804,892,"1,420",843,764,882,462,0,0
"University of North Carolina at Pembroke, The",554,423,813,564,806,659,998,408,187,239
Coe College,546,468,433,523,685,311,310,457,286,571
Rollins College,543,423,460,497,372,491,377,0,0,0
Loyola University New Orleans,541,703,789,673,914,660,779,595,746,947
Widener University,541,384,247,237,179,162,332,0,189,266
Roanoke College,539,550,602,518,441,336,451,867,"1,282","1,201"
Virginia Military Institute,534,550,307,438,708,547,374,849,"1,340","1,173"
Butler University,525,395,350,613,503,417,610,0,0,0
Southern Arkansas University,520,409,290,264,298,308,259,0,0,0
Cornell College,510,558,239,194,193,0,0,0,0,0
University of West Georgia,510,614,646,"2,390","2,718","2,280","2,711","1,749","1,522","1,912"
"Indiana University, New Albany",505,719,613,317,565,"1,306",456,408,0,0
University of Redlands,505,488,555,"1,206","1,304","1,381","1,432","1,317","1,726","1,519"
Arkansas Tech University,503,503,525,453,288,206,410,187,171,162
Maryland Institute College of Art,499,427,590,599,295,509,465,0,0,0
Centre College,498,537,627,698,594,622,478,0,0,0
Concordia University Wisconsin,493,594,519,866,0,0,0,0,0,0
East Central University,493,452,655,"1,010","1,258",937,"1,937",0,0,0
Eastern Oregon University,493,388,367,0,0,261,265,200,563,610
Eastern New Mexico University,492,490,"1,144",660,721,758,357,0,0,0
Georgia Gwinnett College,492,255,318,0,0,0,0,0,0,0
Shepherd University,490,345,200,601,244,453,303,0,0,0
Lake Forest College,488,481,455,407,430,395,573,533,478,453
Delta State University,483,286,0,0,0,0,0,0,0,0
"Montana State University, Havre",481,548,550,421,421,314,319,0,0,0
Hendrix College,480,616,770,718,735,639,970,656,648,679
Northeastern State University,475,568,497,531,557,573,644,707,791,627
Manchester U.,469,0,0,0,0,0,0,0,0,0
"California State University, East Bay",466,837,0,0,934,"1,039","1,644","1,312","2,987","2,982"
Bastyr University,464,832,"1,409","3,857","2,728","2,844","2,121","1,572","1,485",0
Western Oregon University,464,496,317,236,473,"2,195","1,986","2,255",541,0
Kutztown University of Pennsylvania,463,374,0,0,239,271,263,0,0,0
Bluefield State College,458,310,160,182,252,230,162,0,0,0
Barry University,450,660,762,"1,677","3,041","1,449","1,350",897,875,697
Southwestern University,446,650,722,575,472,201,477,0,0,0
Florida Polytechnic University,438,204,212,0,0,0,0,0,0,0
Minot State University,436,407,377,302,367,427,590,795,614,0
"Auburn University, Montgomery",430,369,452,485,641,625,749,351,0,0
Pacific Northwest University of Health Sciences,427,482,0,0,0,0,0,0,0,0
Texas A&M University-San Antonio,426,380,0,0,0,0,0,0,0,0
Gannon University,424,248,249,0,0,239,444,0,0,0
Juniata College,421,366,483,493,292,422,467,511,516,384
Western New Mexico University,421,260,218,0,0,0,0,0,0,0
Hartford Seminary,420,0,0,0,0,0,0,0,0,0
University of Houston-Victoria,418,178,0,0,0,0,0,0,0,0
Western Connecticut State University,414,260,262,239,262,0,0,0,230,376
Berry College,409,338,346,342,220,451,0,0,0,0
"Evergreen State College, The",409,407,441,424,571,819,"1,025",902,672,636
Ohio Wesleyan University,405,251,316,334,299,365,719,335,290,239
Wheeling Jesuit University,400,776,"1,721","3,253","4,186","7,225","9,825","9,398","11,551","9,390"
Ohio Northern University,399,0,0,414,207,273,458,308,169,0
State University of New York College at Oneonta,397,0,274,235,349,338,254,336,341,205
Bridgewater State College,393,404,639,360,318,223,521,587,614,851
Wabash College,392,381,378,559,"1,514","1,877","2,098","3,200","4,279","4,484"
"University of Tampa, The",390,760,"1,449","2,835","1,197","2,384",0,0,0,0
University of Evansville,389,376,476,550,198,0,0,0,0,0
Valdosta State University,384,657,700,548,557,797,512,0,0,0
Ramapo College of New Jersey,383,288,153,287,208,278,445,0,0,0
Lawrence University,378,503,393,245,251,931,241,784,483,405
Lewis-Clark State College,378,330,291,0,0,0,0,0,0,0
Philander Smith College,378,383,340,388,488,594,519,0,0,0
Truman State University,374,526,761,695,671,714,710,882,701,760
Cheyney University of Pennsylvania,370,519,278,423,535,259,713,725,529,487
"Indiana University, Richmond",370,175,251,504,0,0,0,0,0,0
Utica College,370,349,382,0,0,0,157,0,0,0
West Virginia School of Osteopathic Medicine,369,407,438,468,768,876,528,594,510,520
Emporia State University,367,449,258,326,240,479,525,0,0,0
John Carroll University,367,348,201,416,336,550,743,"1,154","1,724","2,231"
Austin College,365,327,352,299,290,277,217,0,0,0
North Central College,358,318,235,308,173,351,208,0,0,0
Scripps College,358,353,334,346,0,"1,016","1,018",0,0,0
"Indiana University, Gary",355,203,197,201,171,273,297,0,0,0
Colorado Mesa University,353,429,284,299,408,848,802,"1,799","1,145","1,012"
Winona State University,349,469,340,659,483,588,426,375,772,"1,520"
New York Chiropractic College,348,379,521,455,434,571,404,0,0,0
Utah Valley University,348,330,272,315,190,0,0,0,0,0
Adelphi University,347,360,175,227,190,165,438,360,"1,509","1,992"
"University of Tennessee, The, Martin",347,598,512,547,422,580,"1,232","1,164","1,092","1,085"
"Pennsylvania State University, The, Berks",342,270,195,300,167,190,151,155,0,0
"Cooper Union for the Advancement of Science and Art, The",341,399,452,387,495,448,402,371,270,161
State University of New York College at Fredonia,337,298,386,234,210,271,343,513,278,355
Goucher College,336,234,208,168,205,384,272,485,269,292
"Indiana University, Kokomo",335,423,488,485,263,0,0,0,0,0
"Sage Colleges, The",334,323,0,0,0,0,218,0,0,0
Stetson University,334,183,204,505,404,982,"1,451",0,0,0
Illinois College of Optometry,329,318,519,419,0,0,0,0,0,0
DePauw University,327,303,303,369,480,522,438,503,595,445
East Stroudsburg University of Pennsylvania,324,459,351,377,486,159,250,0,0,0
Bryant University,316,191,331,447,350,541,316,0,0,0
University of Scranton,314,251,367,375,490,295,221,240,490,415
Agnes Scott College,313,342,387,391,288,"1,213",938,"1,884",840,0
Simmons College,306,247,303,248,550,760,621,440,696,686
"Colorado State University, Pueblo",305,270,230,360,676,899,364,413,328,323
Beloit College,289,234,316,0,0,0,0,0,0,0
University of Central Missouri,289,269,413,422,0,0,205,0,0,0
Missouri Western State University,286,255,207,0,0,0,0,0,0,0
State University of New York Purchase College,284,433,373,174,"1,433","1,431",569,0,0,0
Johnson State College,283,376,583,531,489,479,222,0,0,0
Salve Regina University,283,507,555,523,425,386,322,0,0,0
St. Norbert College,281,380,405,326,246,0,0,0,0,0
Georgia College and State University,275,440,829,535,439,315,0,0,0,0
"State University of New York, system office",275,500,614,219,0,0,0,0,0,0
Southwestern Oklahoma State University,274,272,382,382,534,579,538,428,254,0
Southern College of Optometry,272,212,313,342,163,233,392,0,0,0
Troy University,272,358,327,338,0,0,0,0,187,0
Paine College,270,445,251,978,689,410,448,0,0,0
Wittenberg University,270,336,204,255,292,183,243,0,0,0
Messiah College,267,690,659,558,342,353,365,0,0,0
Southern University and at New Orleans,264,318,279,491,340,595,706,402,505,197
Mayville State University,262,267,204,0,0,0,454,275,224,224
Westmont College,261,289,317,456,472,481,0,0,0,0
"St. Thomas University, Miami Gardens",260,0,0,550,544,635,0,0,0,0
Texas Lutheran University,259,0,0,0,0,0,0,0,0,0
Eastern Mennonite University,257,0,0,228,195,170,214,0,0,0
"Augustana College, Rock Island",255,527,495,730,434,601,659,465,455,0
Bryn Athyn College,255,211,289,325,261,384,287,0,0,0
Castleton State College,255,330,254,248,205,0,0,0,0,0
Linfield College,249,347,330,162,257,226,170,0,0,0
Claremont School of Theology,248,0,0,0,0,452,574,0,0,0
Dakota Wesleyan University,240,154,0,0,213,178,0,0,0,0
Pacific Lutheran University,238,392,370,288,460,433,471,425,"1,060",474
New York Law School,233,453,471,497,0,0,0,0,0,0
"Pennsylvania State University, The, Malvern, Great Valley School of Graduate Professional Studies",232,177,288,255,172,0,275,275,0,0
Coppin State University,230,153,189,0,0,0,0,0,0,0
Bard College,228,221,250,396,358,898,183,0,0,0
"Texas Chiropractic College Foundation, Inc",224,221,209,217,0,0,0,0,0,0
"Wheaton College, Norton",223,373,299,294,340,618,239,0,0,0
Alverno College,213,412,457,488,516,721,740,0,0,0
John Brown University,212,214,176,0,0,0,0,0,0,0
Taylor University,212,251,162,361,610,725,334,0,0,0
Washburn University,209,0,0,0,204,216,269,0,0,0
Pontifical Catholic University of Puerto Rico,206,186,181,0,0,0,0,0,0,0
"Carlos Albizu University, San Juan",205,198,188,183,0,0,0,165,157,310
"University of South Carolina, Spartanburg",203,327,243,267,319,173,439,261,0,0
Francis Marion University,202,250,289,387,295,285,274,0,0,0
Sherman College of Straight Chiropractic,200,304,265,0,0,0,0,0,0,0
Dominican University,198,0,0,0,0,0,333,0,0,0
Logan University,193,216,393,903,"1,374","1,419",0,0,0,0
Harding University,187,195,250,268,280,395,284,0,0,0
Moravian College,184,286,217,0,0,0,0,0,0,0
Alderson-Broaddus College,180,167,0,0,0,0,200,0,0,0
Life University,179,151,0,0,0,0,0,0,0,0
North American University,179,268,335,0,0,0,0,0,0,0
Converse College,175,0,0,0,0,0,0,0,0,0
"SUNY, Delhi",169,0,0,0,0,0,0,0,0,0
Point Loma Nazarene University,168,361,178,518,273,284,0,0,0,222
Iona College,166,278,361,205,194,288,212,0,0,0
University of Wisconsin-Superior,165,160,150,150,0,"6,041","6,187","5,890","3,855","2,180"
Maryland U. of Integrative Health,155,0,0,0,0,0,0,0,0,0
Saint Mary's University of Minnesota,153,549,0,0,0,0,0,0,0,0
Bethune-Cookman University,150,0,0,0,0,0,0,0,0,0
Gordon-Conwell Theological Seminary,150,0,0,0,0,0,0,0,0,0
Alliant International University,0,0,0,"1,387",826,732,"1,111",0,0,0
Armstrong Atlantic State University,0,0,0,312,348,667,708,"2,681",671,0
Art Center College of Design,0,0,0,0,0,0,456,0,0,0
Ashland University,0,0,0,0,0,0,526,0,0,0
Auburn University,0,0,0,0,0,0,0,0,"144,560","147,910"
Baldwin-Wallace College,0,0,0,0,0,527,360,0,0,0
Bank Street College of Education,0,0,0,0,0,0,171,0,0,0
Barnes-Jewish College Goldfarb School of Nursing,0,0,273,261,293,324,"1,767",0,0,0
Bellarmine University,0,0,0,0,0,0,200,0,0,0
Bemidji State University,0,0,0,313,0,0,221,0,0,0
Benedictine University,0,0,0,189,189,232,530,186,209,228
Berea College,0,0,0,0,0,0,212,0,0,0
Birmingham Southern College,0,0,0,0,0,0,0,0,0,180
California University of Pennsylvania,0,0,0,0,0,0,240,0,0,0
Capitol College,0,0,0,0,383,563,667,0,0,0
Carthage College,0,0,0,0,0,0,242,0,0,0
"Chicago School of Professional Psychology, The",0,0,0,0,0,0,186,0,0,0
Christian Brothers University,0,0,0,0,0,193,195,0,0,0
Clarion University of Pennsylvania,0,263,215,270,284,496,0,0,0,0
Coker College,0,0,156,243,196,156,245,0,0,0
Colby-Sawyer College,0,0,0,0,182,262,187,0,0,0
College of Menominee Nation,0,0,0,0,0,0,477,0,0,0
College of Nanoscale Science and Engineering of the University at Albany SUNY,0,0,0,0,"374,174","265,473","248,778",0,0,0
College of Southern Nevada,0,0,0,193,0,0,0,0,0,0
Columbia College Chicago,0,0,0,0,600,"1,318","1,441",0,0,0
Columbus State University,0,0,0,0,0,"1,432","1,808",0,0,0
Concord University,0,0,445,0,0,174,216,0,0,0
"Concordia College, Moorhead",0,209,232,226,368,374,330,617,546,758
Daemen College,0,0,378,333,687,667,"1,140","1,613","1,876","1,915"
Denison University,0,0,937,831,725,0,0,620,438,395
Dickinson State University,0,0,0,0,255,256,289,0,0,0
Dine College,0,0,150,0,0,0,959,0,0,0
Dowling College,0,0,0,0,0,0,183,200,651,"1,109"
